member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_naturedescription,a_naturekey,a_natureparentkey,a_naturesorting,a_natureparentkeyms,a_naturemap2planning,a_naturemap2activite
768,164110,164110,164110 Emprunts/établissements de crédit Moyen-Long terme,65278,false,164110 Emprunts/établissements de crédit Moyen-Long terme,164110,16,164110,16,,BSH_00018
769,164130,164130,164130 Emprunts/établissements de crédit Courant,65278,false,164130 Emprunts/établissements de crédit Courant,164130,16,164130,16,,BSH_00018
1103,12ms,12MS,12.Transfert de charges d'exploitation,65278,false,12.Transfert de charges d'exploitation,12MS,,12,OP2,,
772,168700,168700,168700 Autres dettes assimilées,65278,false,168700 Autres dettes assimilées,168700,16,168700,16,,BSH_00016
773,168830,168830,168830 Intérêts courus sur emprunts obligataires,65278,false,168830 Intérêts courus sur emprunts obligataires,168830,16,168830,16,,BSH_00016
1106,10ms,10MS,10.Remplacement CICE,65278,false,10.Remplacement CICE,10MS,,10,OP2,,
774,168840,168840,168840 Intérêts courus/emprunts auprès des établ-crédit,65278,false,168840 Intérêts courus/emprunts auprès des établ-crédit,168840,16,168840,16,,BSH_00016
775,171200,171200,171200 Emprunts auprès de la société mère,65278,false,171200 Emprunts auprès de la société mère,171200,17,171200,17,,BSH_00018
776,171201,171201,171201 Int courus/emprunts auprès sté mère,65278,false,171201 Int courus/emprunts auprès sté mère,171201,17,171201,17,,BSH_00018
778,203100,203100,203100 Frais de développement,65278,false,203100 Frais de développement,203100,2,203100,2,,BSH_00001
782,211100,211100,211100 Terrains nus - Prouvé,65278,false,211100 Terrains nus - Prouvé,211100,2,211100,2,,BSH_00002
783,211200,211200,211200 Terrains aménagés - Prouvé,65278,false,211200 Terrains aménagés - Prouvé,211200,2,211200,2,,BSH_00002
784,211500,211500,211500 Terrain construit - Prouvé,65278,false,211500 Terrain construit - Prouvé,211500,2,211500,2,,BSH_00002
785,212000,212000,212000 Agencements Aménagements Terrain-prop prouvée,65278,false,212000 Agencements Aménagements Terrain-prop prouvée,212000,2,212000,2,,BSH_00002
862,420000,420000,420000 Personnel-A régler,65278,false,420000 Personnel-A régler,420000,4,420000,4,,BSH_00010
770,165000,165000,165000 Dépôts et Cautionnements reçus,65278,false,165000 Dépôts et Cautionnements reçus,165000,16,165000,16,,BSH_00018
1084,nature_root_ms,Nature_Root_MS,Nature (Root MS),65278,false,Nature (Root MS),Nature_Root_MS,,Root,Nature_Root_MS,,
1127,11ms,11MS,11.Rupture de contrat,65278,false,11.Rupture de contrat,11MS,,11,OP2,,
1102,nature_ms,Nature_MS,Nature MS avec Capi,65278,false,Nature MS avec Capi,Nature_MS,,Root1,Nature_Root_MS,,
1123,nature_hors_ms,Nature_Hors_MS,Nature Hors MS,65278,false,Nature Hors MS,Nature_Hors_MS,,Root2,Nature_Root_MS,,
1342,656,656,656 Perte de change commerciale,65278,false,656 Perte de change commerciale,656,65,656,65,,
1343,756,756,756 Autres produits de gestion courante,65278,false,756 Autres produits de gestion courante,756,75,756,75,,
416,opx,OPx,Opex Hist,65278,false,Opex Hist,OPx,6,6Y,6,,
103,641340,641340,641340 Personnel - Prime d'expatriation R64100 Non Oui Non,65278,false,641340 Personnel - Prime d'expatriation R64100 Non Oui Non,641340,641,641340,130MS,6XXXXX,PNL_00131
1441,603103,603103,603103 Var. Stk Quotas gaz,65278,false,603103 Var. Stk Quotas gaz,603103,603,603103,603,6XXXXX,PNL_00051
1474,512857,512857,512857 BNP Terega Solutions,65278,false,512857 BNP Terega Solutions,512857,5,512857,5,,BSH_00019
1475,512858,512858,512858 BNP Loca Terega,65278,false,512858 BNP Loca Terega,512858,5,512858,5,,BSH_00019
1410,138020,138020,138020 Subventions frais développement,65278,false,138020 Subventions frais développement,138020,13,138020,13,,BSH_00028
1411,138820,138820,138820 Amort subventions frais develop,65278,false,138820 Amort subventions frais develop,138820,13,138820,13,,BSH_00028
1412,455110,455110,455110 Compte courant Teréga SA,65278,false,455110 Compte courant Teréga SA,455110,4,455110,4,,BSH_00014
7,op51,OP51,Provisions pour engagements sociaux,65278,false,Provisions pour engagements sociaux,OP51,OP5,OP51,OP5,,
10,op52,OP52,Provisions pour risques,65278,false,Provisions pour risques,OP52,OP5,OP52,OP5,,
12,op32,OP32,Transfert de charges d'exploitation (BUD),65278,false,Transfert de charges d'exploitation (BUD),OP32,OP2,OP32,12MS,,
1413,455111,455111,455111 Compte courant Teréga Solutions,65278,false,455111 Compte courant Teréga Solutions,455111,4,455111,4,,BSH_00014
1414,455120,455120,455120 Compte courant Teréga SAS,65278,false,455120 Compte courant Teréga SAS,455120,4,455120,4,,BSH_00014
1415,455130,455130,455130 Compte courant Teréga Holding,65278,false,455130 Compte courant Teréga Holding,455130,4,455130,4,,BSH_00014
1416,471000,471000,471000 Ecart fact/stocks,65278,false,471000 Ecart fact/stocks,471000,4,471000,4,,BSH_00007
786,212810,212810,212810 Constructions Aménagements routes,65278,false,212810 Constructions Aménagements routes,212810,2,212810,2,,BSH_00002
104,641100,641100,641100 Personnel - émoluments / salaire de base,65278,false,641100 Personnel - émoluments / salaire de base,641100,641,641100,110MS,6XXXXX,PNL_00131
312,604001,604001,604001 Tx publics R60400,65278,false,604001 Tx publics R60400,604001,604,604001,604,6XXXXX,PNL_00150
789,213500,213500,213500 Installations aménagements,65278,false,213500 Installations aménagements,213500,2,213500,2,,BSH_00002
722,12,12,12 - RESULTAT DE L'EXERCICE,65278,false,12 - RESULTAT DE L'EXERCICE,12,1,12,1,,
723,13,13,13 - SUBVENTIONS D'INVESTISSEMENT,65278,false,13 - SUBVENTIONS D'INVESTISSEMENT,13,1,13,1,,
724,14,14,14 - PROVISIONS REGLEMENTEES,65278,false,14 - PROVISIONS REGLEMENTEES,14,1,14,1,,
725,15,15,15 - PROVISIONS,65278,false,15 - PROVISIONS,15,1,15,1,,
726,16,16,16 - EMPRUNT ET DETTES ASSIMILEES,65278,false,16 - EMPRUNT ET DETTES ASSIMILEES,16,1,16,1,,
727,17,17,17 - DETTES RATTACHEES A DES PARTICIPATIONS,65278,false,17 - DETTES RATTACHEES A DES PARTICIPATIONS,17,1,17,1,,
728,18,18,18 - COMPTES DE LIAISON,65278,false,18 - COMPTES DE LIAISON,18,1,18,1,,
45,706,706,706 Prestations de services,65278,false,706 Prestations de services,706,70,706,70,,
46,707,707,707 Ventes de marchandises,65278,false,707 Ventes de marchandises,707,70,707,70,,
48,708,708,708 Produits des activités annexes,65278,false,708 Produits des activités annexes,708,70,708,70,,
49,709,709,"709 Rabais, remises et ristournes accordés",65278,false,"709 Rabais, remises et ristournes accordés",709,70,709,70,,
65,713,713,713 Variation des stocks,65278,false,713 Variation des stocks,713,71,713,71,,
89,722,722,722 Immobilisations corporelles,65278,false,722 Immobilisations corporelles,722,72,722,72,,
90,602,602,602 Achats stockés-autres approv.,65278,false,602 Achats stockés-autres approv.,602,60,602,60,,
93,603,603,603 Variation des stocks,65278,false,603 Variation des stocks,603,60,603,60,,
96,604,604,604 Achats d'études et prestations de services,65278,false,604 Achats d'études et prestations de services,604,60,604,60,,
97,605,605,"605 Achats de matériel, équipements et tx",65278,false,"605 Achats de matériel, équipements et tx",605,60,605,60,,
99,606,606,606 Achats non stockés de matières et fournitures,65278,false,606 Achats non stockés de matières et fournitures,606,60,606,60,,
100,607,607,607 Achats de marchandises,65278,false,607 Achats de marchandises,607,60,607,60,,
101,608,608,608 Frais accessoires,65278,false,608 Frais accessoires,608,60,608,60,,
102,609,609,"609 Rabais, remises et ristournes obtenus sur achat",65278,false,"609 Rabais, remises et ristournes obtenus sur achat",609,60,609,60,,
116,611,611,611 Sous-traitance générale,65278,false,611 Sous-traitance générale,611,61,611,61,,
118,612,612,612 Redevances de crédit-bail,65278,false,612 Redevances de crédit-bail,612,61,612,61,,
122,613,613,613 Locations,65278,false,613 Locations,613,61,613,61,,
124,614,614,614 Charges locatives et de copropriété,65278,false,614 Charges locatives et de copropriété,614,61,614,61,,
126,615,615,615 Entretien et réparations,65278,false,615 Entretien et réparations,615,61,615,61,,
128,616,616,616 Primes d'assurance,65278,false,616 Primes d'assurance,616,61,616,61,,
131,617,617,617 Etudes et recherches,65278,false,617 Etudes et recherches,617,61,617,61,,
132,618,618,618 Divers,65278,false,618 Divers,618,61,618,61,,
137,740,740,740 Subventions d'exploitation,65278,false,740 Subventions d'exploitation,740,74,740,74,,
138,621,621,621 Personnel extérieur à l'entreprise,65278,false,621 Personnel extérieur à l'entreprise,621,62,621,62,,
139,622,622,622 Rémunérations d'intermédiaires et honoraires,65278,false,622 Rémunérations d'intermédiaires et honoraires,622,62,622,62,,
140,623,623,"623 Publicité, publication, relations publiques",65278,false,"623 Publicité, publication, relations publiques",623,62,623,62,,
143,624,624,624 Transp. de biens et transp.collectifs du personn,65278,false,624 Transp. de biens et transp.collectifs du personn,624,62,624,62,,
144,625,625,"625 Déplacements, missions et réceptions",65278,false,"625 Déplacements, missions et réceptions",625,62,625,62,,
146,626,626,626 Frais postaux et frais de télécommunicat°,65278,false,626 Frais postaux et frais de télécommunicat°,626,62,626,62,,
147,627,627,627 Services bancaires et assimilés,65278,false,627 Services bancaires et assimilés,627,62,627,62,,
148,628,628,628 Divers,65278,false,628 Divers,628,62,628,62,,
169,750,750,750 Autres produits opérationnels,65278,false,750 Autres produits opérationnels,750,75,750,75,,
1179,512854,512854,512854 CACIB,65278,false,512854 CACIB,512854,5,512854,5,,BSH_00019
171,631,631,"631 Impôts, taxes et vers. ass. sur rémunérat°(impô",65278,false,"631 Impôts, taxes et vers. ass. sur rémunérat°(impô",631,63,631,63,,
172,752,752,752 Revenus des immeubles non aff. aux activités p,65278,false,752 Revenus des immeubles non aff. aux activités p,752,75,752,75,,
173,633,633,"633 Impôts, taxes et vers. ass. sur rémunérat°(autre",65278,false,"633 Impôts, taxes et vers. ass. sur rémunérat°(autre",633,63,633,63,,
174,635,635,"635 Autres impôts, taxes et vers. ass. (impôts)",65278,false,"635 Autres impôts, taxes et vers. ass. (impôts)",635,63,635,63,,
175,637,637,"637 Autres impôts, taxes et vers. ass. (autres)",65278,false,"637 Autres impôts, taxes et vers. ass. (autres)",637,63,637,63,,
176,758,758,758 Produits divers de gestion courante,65278,false,758 Produits divers de gestion courante,758,75,758,75,,
450,72,72,72 Production immobilisée,65278,false,72 Production immobilisée,72,7,72,7,,
187,761,761,761 Produits de participations,65278,false,761 Produits de participations,761,76,761,76,,
188,641,641,641 Rémunérations du personnel,65278,false,641 Rémunérations du personnel,641,64,641,64,,
189,762,762,762 Produits des autres immobilisations financières,65278,false,762 Produits des autres immobilisations financières,762,76,762,76,,
190,763,763,763 Revenus des autres créances,65278,false,763 Revenus des autres créances,763,76,763,76,,
194,764,764,764 Revenus des VMP,65278,false,764 Revenus des VMP,764,76,764,76,,
196,645,645,645 Charges de sécurité sociale et de prévoyance,65278,false,645 Charges de sécurité sociale et de prévoyance,645,64,645,64,,
197,766,766,766 Gains de change,65278,false,766 Gains de change,766,76,766,76,,
198,647,647,647 Autres charges sociales,65278,false,647 Autres charges sociales,647,64,647,64,,
199,768,768,768 Autres produits financiers,65278,false,768 Autres produits financiers,768,76,768,76,,
201,648,648,648 Autres charges de personnel,65278,false,648 Autres charges de personnel,648,64,648,64,,
204,649,649,649 Cré dit d’Impôt Compé titivité Emploi (CICE),65278,false,649 Cré dit d’Impôt Compé titivité Emploi (CICE),649,64,649,64,,
210,771,771,771 Produits exceptionnels / opérat° de gestion,65278,false,771 Produits exceptionnels / opérat° de gestion,771,77,771,77,,
211,651,651,"651 Redevances pour concess°, brevets, licences...",65278,false,"651 Redevances pour concess°, brevets, licences...",651,65,651,65,,
212,653,653,653 Jetons de présence,65278,false,653 Jetons de présence,653,65,653,65,,
215,654,654,654 Pertes sur créances irrécouvrables,65278,false,654 Pertes sur créances irrécouvrables,654,65,654,65,,
217,775,775,775 Produits des cessions d'éléments d'actif,65278,false,775 Produits des cessions d'éléments d'actif,775,77,775,77,,
223,778,778,778 Autres produits exceptionnels,65278,false,778 Autres produits exceptionnels,778,77,778,77,,
224,658,658,658 Charges diverses de gestion courante,65278,false,658 Charges diverses de gestion courante,658,65,658,65,,
232,781,781,781 Rep. sur amort. et prov°-exploitation,65278,false,781 Rep. sur amort. et prov°-exploitation,781,78,781,78,,
233,661,661,661 Charges d'intérêts,65278,false,661 Charges d'intérêts,661,66,661,66,,
243,786,786,786 Rep. sur prov°-financières,65278,false,786 Rep. sur prov°-financières,786,78,786,78,,
246,666,666,666 Pertes de change,65278,false,666 Pertes de change,666,66,666,66,,
248,787,787,787 Rep. sur prov°-exceptionnelles,65278,false,787 Rep. sur prov°-exceptionnelles,787,78,787,78,,
250,668,668,668 Autres charges financières,65278,false,668 Autres charges financières,668,66,668,66,,
263,791,791,791 Transferts de charges d'exploitation,65278,false,791 Transferts de charges d'exploitation,791,79,791,79,,
265,671,671,671 Charges exceptionnelles sur opérat° de gestion,65278,false,671 Charges exceptionnelles sur opérat° de gestion,671,67,671,67,,
266,672,672,672 Charges / exercice antérieur,65278,false,672 Charges / exercice antérieur,672,67,672,67,,
273,675,675,675 Valeurs comptables des éléments d'actifs cédés,65278,false,675 Valeurs comptables des éléments d'actifs cédés,675,67,675,67,,
274,796,796,796 Transferts de charges financières,65278,false,796 Transferts de charges financières,796,79,796,79,,
279,678,678,678 Autres charges exceptionnelles,65278,false,678 Autres charges exceptionnelles,678,67,678,67,,
281,799,799,799 Comptes de produits techniques,65278,false,799 Comptes de produits techniques,799,79,799,79,,
287,680,680,680 Dotations aux amort.logiciels,65278,false,680 Dotations aux amort.logiciels,680,68,680,68,,
288,681,681,681 Dotations aux amort. et prov°-exploitation,65278,false,681 Dotations aux amort. et prov°-exploitation,681,68,681,68,,
293,686,686,686 Dotations aux amort. et prov°-financières,65278,false,686 Dotations aux amort. et prov°-financières,686,68,686,68,,
296,687,687,687 Dotations aux amort. et prov°-exceptionnelles,65278,false,687 Dotations aux amort. et prov°-exceptionnelles,687,68,687,68,,
309,691,691,691 Participation des salariés,65278,false,691 Participation des salariés,691,69,691,69,,
311,695,695,695 Impôts sur les bénéfices,65278,false,695 Impôts sur les bénéfices,695,69,695,69,,
313,698,698,698 Intégration fiscale,65278,false,698 Intégration fiscale,698,69,698,69,,
315,699,699,699 Comptes de chges techniques,65278,false,699 Comptes de chges techniques,699,69,699,69,,
424,63,63,"63 Impôts, taxes et vers. assimilés",65278,false,"63 Impôts, taxes et vers. assimilés",63,6,63,6,,
425,64,64,64 Charges de personnel,65278,false,64 Charges de personnel,64,6,64,6,,
426,65,65,65 Autres charges de gestion courante,65278,false,65 Autres charges de gestion courante,65,6,65,6,,
429,67,67,67 Charges exceptionnelles,65278,false,67 Charges exceptionnelles,67,6,67,6,,
430,68,68,68 Dotations aux amortissements et aux provisions,65278,false,68 Dotations aux amortissements et aux provisions,68,6,68,6,,
432,69,69,69 Participation des salariés-IS,65278,false,69 Participation des salariés-IS,69,6,69,6,,
451,74,74,74 Subventions d'exploitation,65278,false,74 Subventions d'exploitation,74,7,74,7,,
454,75,75,75 Autres produits de gestion courante,65278,false,75 Autres produits de gestion courante,75,7,75,7,,
455,76,76,76 Produits financiers,65278,false,76 Produits financiers,76,7,76,7,,
457,77,77,77 Produits exceptionnels,65278,false,77 Produits exceptionnels,77,7,77,7,,
458,78,78,78 Reprises sur amortissements et provisions,65278,false,78 Reprises sur amortissements et provisions,78,7,78,7,,
459,79,79,79 Transferts de charges,65278,false,79 Transferts de charges,79,7,79,7,,
1443,271200,271200,271200 Titres à long terme disponibles à la vente,65278,false,271200 Titres à long terme disponibles à la vente,271200,2,271200,2,,BSH_00003
350,648600,648600,648600 Personnel-charges exercice antérieurs R64800,65278,false,648600 Personnel-charges exercice antérieurs R64800,648600,648,648600,250MS,6XXXXX,PNL_00131
790,214000,214000,214000 Constructions sur sol d'autrui-propriété prouvée,65278,false,214000 Constructions sur sol d'autrui-propriété prouvée,214000,2,214000,2,,BSH_00002
799,218100,218100,218100 Installations / Aménagements en général,65278,false,218100 Installations / Aménagements en général,218100,2,218100,2,,BSH_00002
800,218200,218200,218200 Matériel de transport,65278,false,218200 Matériel de transport,218200,2,218200,2,,BSH_00002
801,218300,218300,218300 Matériels de bureau et d'hébergement,65278,false,218300 Matériels de bureau et d'hébergement,218300,2,218300,2,,BSH_00002
802,218310,218310,218310 Meubles de bureau et d'hébergement,65278,false,218310 Meubles de bureau et d'hébergement,218310,2,218310,2,,BSH_00002
803,218320,218320,218320 Matériels de télécommunications,65278,false,218320 Matériels de télécommunications,218320,2,218320,2,,BSH_00002
804,218330,218330,218330 IT & matériel informatique,65278,false,218330 IT & matériel informatique,218330,2,218330,2,,BSH_00002
809,238000,238000,238000 Avances-Acomptes versés sur immo corporelles,65278,false,238000 Avances-Acomptes versés sur immo corporelles,238000,2,238000,2,,BSH_00002
810,261210,261210,261210 Titres non cotés de sociétés liées non consolidées,65278,false,261210 Titres non cotés de sociétés liées non consolidées,261210,2,261210,2,,BSH_00003
811,274300,274300,274300 Prêts au personnel à taux normal,65278,false,274300 Prêts au personnel à taux normal,274300,2,274300,2,,BSH_00003
812,274320,274320,274320 Prêts pour le plan d'actionnariat à taux normal,65278,false,274320 Prêts pour le plan d'actionnariat à taux normal,274320,2,274320,2,,BSH_00003
816,274880,274880,274880 Prêts financiers hors groupe à long terme,65278,false,274880 Prêts financiers hors groupe à long terme,274880,2,274880,2,,BSH_00003
817,275200,275200,275200 Dépots et cautonnements Fournisseurs,65278,false,275200 Dépots et cautonnements Fournisseurs,275200,2,275200,2,,BSH_00003
818,280310,280310,280310 Amort.frais de développement,65278,false,280310 Amort.frais de développement,280310,2,280310,2,,BSH_00001
822,281200,281200,281200 Amort frais aménagement de terrain -prouvés,65278,false,281200 Amort frais aménagement de terrain -prouvés,281200,2,281200,2,,BSH_00002
825,281350,281350,281350 Amort Installations aménagements,65278,false,281350 Amort Installations aménagements,281350,2,281350,2,,BSH_00002
826,281400,281400,281400 Amort constructions sur sol d'autrui -prouvé,65278,false,281400 Amort constructions sur sol d'autrui -prouvé,281400,2,281400,2,,BSH_00002
834,281550,281550,281550 Amortissement du matériel / outillage industriel,65278,false,281550 Amortissement du matériel / outillage industriel,281550,2,281550,2,,BSH_00002
836,281810,281810,281810 Amort Installations / Aménagements généraux,65278,false,281810 Amort Installations / Aménagements généraux,281810,2,281810,2,,BSH_00002
837,281820,281820,281820 Amortissement des matériels de transport,65278,false,281820 Amortissement des matériels de transport,281820,2,281820,2,,BSH_00002
838,281830,281830,281830 Amort matériels bureau et hébergement,65278,false,281830 Amort matériels bureau et hébergement,281830,2,281830,2,,BSH_00002
839,281831,281831,281831 Amort meubles bureau et hébergement,65278,false,281831 Amort meubles bureau et hébergement,281831,2,281831,2,,BSH_00002
840,281832,281832,281832 Amortissement des matériels de Télécommunications,65278,false,281832 Amortissement des matériels de Télécommunications,281832,2,281832,2,,BSH_00002
841,281833,281833,281833 Amortissement de l'équipement IT & Informatique,65278,false,281833 Amortissement de l'équipement IT & Informatique,281833,2,281833,2,,BSH_00002
842,321000,321000,321000 Stock de Matériels,65278,false,321000 Stock de Matériels,321000,3,321000,3,,BSH_00007
844,321200,321200,321200 Stock de gaz expéditeurs,65278,false,321200 Stock de gaz expéditeurs,321200,3,321200,3,,BSH_00007
847,392000,392000,392000 Prov. Dépr. Stock de matériel,65278,false,392000 Prov. Dépr. Stock de matériel,392000,3,392000,3,,BSH_00007
854,409100,409100,409100 Fournisseurs-Avances acomptes versés sur commande,65278,false,409100 Fournisseurs-Avances acomptes versés sur commande,409100,4,409100,4,,BSH_00009
859,418100,418100,418100 Clients - Produits non encore facturés - Groupe,65278,false,418100 Clients - Produits non encore facturés - Groupe,418100,4,418100,4,,BSH_00008
860,418200,418200,418200 Clients-Produits non encore facturés-Hors Groupe,65278,false,418200 Clients-Produits non encore facturés-Hors Groupe,418200,4,418200,4,,BSH_00008
861,419000,419000,419000 Clients - avances et acomptes reçus,65278,false,419000 Clients - avances et acomptes reçus,419000,4,419000,4,,BSH_00008
2332,518900,518900,518900 Intérêts courus sur DAT,65278,false,518900 Intérêts courus sur DAT,518900,5,518900,5,,BSH_00016
2365,512950,512950,512950 CCRP NATIXIS TEREGA SA,65278,false,512950 CCRP NATIXIS TEREGA SA,512950,5,512950,5,,BSH_00019
865,421400,421400,421400 Epargne chèques-vacances,65278,false,421400 Epargne chèques-vacances,421400,4,421400,4,,BSH_00010
866,421500,421500,421500 Frais de déplacement,65278,false,421500 Frais de déplacement,421500,4,421500,4,,BSH_00010
867,422000,422000,422000 Comité d'entreprise,65278,false,422000 Comité d'entreprise,422000,4,422000,4,,BSH_00010
2366,512951,512951,512951 CCRP NATIXIS TEREGA SOLUTIONS,65278,false,512951 CCRP NATIXIS TEREGA SOLUTIONS,512951,5,512951,5,,BSH_00019
871,425110,425110,425110 Personnel – Acompte 13e mois,65278,false,425110 Personnel – Acompte 13e mois,425110,4,425110,4,,BSH_00010
2398,708812,708812,708812 Autres prod. d'activites annexes - matériel stocké,65278,false,708812 Autres prod. d'activites annexes - matériel stocké,708812,708,708812,708,7XXXXX,PNL_00040
878,428200,428200,428200 Personnel - Dettes provisionnées /congés à payer,65278,false,428200 Personnel - Dettes provisionnées /congés à payer,428200,4,428200,4,,BSH_00010
881,428210,428210,428210 Personnel – Dettes provisionnées / CET,65278,false,428210 Personnel – Dettes provisionnées / CET,428210,4,428210,4,,BSH_00010
1118,720ms,720MS,7.2. Intéressement,65278,false,7.2. Intéressement,720MS,,720MS,07MS,,
882,428300,428300,428300 Personnel - Dettes provisionnées /intéressement,65278,false,428300 Personnel - Dettes provisionnées /intéressement,428300,4,428300,4,,BSH_00010
883,428400,428400,428400 Personnel - Dettes provisionnées /participation,65278,false,428400 Personnel - Dettes provisionnées /participation,428400,4,428400,4,,BSH_00010
884,428600,428600,428600 Personnel - Autres charges à payer,65278,false,428600 Personnel - Autres charges à payer,428600,4,428600,4,,BSH_00010
885,430000,430000,430000 Organismes sociaux - A régler,65278,false,430000 Organismes sociaux - A régler,430000,4,430000,4,,BSH_00011
886,431000,431000,431000 Sécurité Sociale,65278,false,431000 Sécurité Sociale,431000,4,431000,4,,BSH_00011
890,437005,437005,437005 Préservatrice,65278,false,437005 Préservatrice,437005,4,437005,4,,BSH_00011
900,437810,437810,437810 Indemnité prévoyance,65278,false,437810 Indemnité prévoyance,437810,4,437810,4,,BSH_00011
901,438600,438600,438600 Org. Sociaux-Charges à payer,65278,false,438600 Org. Sociaux-Charges à payer,438600,4,438600,4,,BSH_00011
902,438700,438700,438700 Org. Sociaux-Produits à recevoir,65278,false,438700 Org. Sociaux-Produits à recevoir,438700,4,438700,4,,BSH_00011
903,440000,440000,440000 Etat et autres coll. Publiques-A régler,65278,false,440000 Etat et autres coll. Publiques-A régler,440000,4,440000,4,,BSH_00012
904,442000,442000,442000 Impôts et taxes recouvrables sur des tiers,65278,false,442000 Impôts et taxes recouvrables sur des tiers,442000,4,442000,4,,BSH_00011
905,442100,442100,442100 Prélèvement à la source,65278,false,442100 Prélèvement à la source,442100,4,442100,4,,BSH_00011
907,444100,444100,444100 Impôt sur les sociétés dû,65278,false,444100 Impôt sur les sociétés dû,444100,4,444100,4,,BSH_00012
908,444110,444110,444110 Impôt sur les sociétés à recevoir,65278,false,444110 Impôt sur les sociétés à recevoir,444110,4,444110,4,,BSH_00012
911,445211,445211,445211 TVA intracom - achats de gaz et d'électricité,65278,false,445211 TVA intracom - achats de gaz et d'électricité,445211,4,445211,4,,BSH_00013
912,445212,445212,445212 TVA hors CEE - expl°,65278,false,445212 TVA hors CEE - expl°,445212,4,445212,4,,BSH_00013
915,445215,445215,445215 TVA hors UE matériels,65278,false,445215 TVA hors UE matériels,445215,4,445215,4,,BSH_00013
916,445510,445510,445510 TVA à décaisser,65278,false,445510 TVA à décaisser,445510,4,445510,4,,BSH_00013
917,445620,445620,445620 TVA déductible/immo,65278,false,445620 TVA déductible/immo,445620,4,445620,4,,BSH_00013
919,445660,445660,445660 TVA déductible/ABS,65278,false,445660 TVA déductible/ABS,445660,4,445660,4,,BSH_00013
